20,monkey6666,monkey6666,2023-08-10 20:15:54,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=bW9ua2V5NjY2Ng--&id=1,0,0
floor,user_name,user_id,publish_time,content,gp_count,bp_count
1,桐,play24621681,2023-08-10 11:53:38,有人知道榮譽之戰防守失敗不知道會不會掉榮耀值嗎？我個人覺得應該不會他也沒說破壞到怎樣的程度算贏如果不會那大家一起擺爛是不是比較好爬。一起爽拿最高獎勵我先開擺垃圾陣容如果有人打到我，就能知道會不會掉榮耀值。目前看起來不會被扣榮耀，推平對手基本上都有10點榮耀值，一天五場打滿50點，20天就可以人人白金光輝等級，越多人開擺越容易達成，大家獎勵一起拿好拿滿！美好的獎勵擺爛的話人和設施擺好擺滿解比較快,72,0
2,茫茫,s79103152,2023-08-10 12:00:22,沒領到1000經驗的是不是可以放棄PvP 了，對方等級都好高,3,0
3,桐,play24621681,2023-08-10 12:29:41,"
不要沉下去，一起迎向美好的未來
",1,0
4,桐,play24621681,2023-08-10 13:06:13,"

",0,0
5,桐,play24621681,2023-08-10 13:28:40,"

",0,0
6,桐,play24621681,2023-08-10 14:19:08,"
序號可能會沒領到，但這個獎勵是實打實的，推廣一下，期望每個人都到達白金光輝
",1,0
7,Banana,ts01323756,2023-08-10 15:01:57,開擺阿爾沙文考量到要解任務 擺滿1等的跟柵欄如有看到請扁我再看看被扁爛會怎麼樣,19,0
9,桐,play24621681,2023-08-10 17:32:02,自推，讓更多人看到，把對面推平都有10榮耀，防守被打爆目前看起來是不扣榮耀，每天五場一場10分，一天50，光輝等級900榮耀，如果夠多人都放推可能20天就能人人光輝等級,1,0
10,桐,play24621681,2023-08-10 17:52:58,"
是不是官方買號在洗，有這麼多人都剛好第一篇文或回文就剛好在這個遊戲，這個實質獎勵分享給大家知道一直被洗下去
",6,0
11,桐,play24621681,2023-08-10 17:55:00,"
真的去看那些+好友，我自推不到一分鐘馬上有人去回文，那些人頭點進去，看起來真的超像工讀生
",0,0
12,桐,play24621681,2023-08-10 18:00:58,"
官方號感覺超多的，那個什麼+好友的，巴哈幫別人點建設的
",0,0
13,桐,play24621681,2023-08-10 18:38:21,"

",0,0
14,桐,play24621681,2023-08-10 19:55:56,8/10晚上推廣,0,0
15,煙消雲散,owen111442,2023-08-10 20:20:42,"

",0,0
16,克里斯,emishi,2023-08-10 20:37:41,"
这个确实应该推广，像天地劫一样不过在外面好像看不太出来？🤔
",0,0
17,Dodo,patrick11234,2023-08-10 21:59:59,"
推一個
",1,0
18,別逼我出手,futszlik,2023-08-10 22:19:09,"
推一個
",0,0
19,蕾姬,reki831,2023-08-10 23:55:26,"
推一個
",0,0
20,桐,play24621681,2023-08-11 00:23:49,8/10睡前推,0,0
floor,user_name,user_id,publish_time,content,gp_count,bp_count
1,築夢,asa780312,2023-08-08 03:22:54,新手以鈴蘭開局免費送2隻SSR角很多人都在問技能配點我一次提供出來還沒出的角色，本篇就不多介紹新手首十抽送麥紗麥紗（鈴蘭、伊利亞）拥有[格挡]，受到伤害降低20%。行动结束时，治疗场上生命值最低的2名己方的生命值，回复20%已损失生命值。守護大家加油哦！激活耐力鈴蘭戰旗破甲擊無懈可擊麥紗天賦以減傷為主，打不痛建議『特化防禦、輔助』七天後送大姐拉維耶（鈴蘭、疾風、伊利亞）伤害提高25%。行动开始或反击时，80%的概率回复40%已损失生命值，获得[微醺]，每回合最多生效2次。[微醺]增益，暴击率提高30%，受到伤害降低10%，可叠加。完備再來一杯滾開鈴蘭之劍致命擊烈風迴旋斬建議輸出取向，單戰能力強配疾風陣營，能撐高爆擊配伊利亞陣營，減益狀態上好上滿——————————————————首抽建議開頭可以花點時間（本人三開抽新手池，挑一隻開局）因為需要花時間這裡至少有一半角色能開局將來35等陣營出來才不會輸一大截剩下存鑽等適合的角色UP池首推迪塔利奧（伊利亞、不動山）全属性提高15%。场上每有1名角色被击败时，回复35%生命值、1点能量。拔刀破曉王者氣勢為了伊利亞破盾擊無盡的破曉光『伊利亞光環』-目標減益狀態增傷技能首推減益技能新手陣營也都伊利亞，契合度很高三隻續戰力強後續推薦抽『伊蘭娜』強力補師補強開局陣營搭配：補師兼魔攻手弓手法卡爾（鈴蘭、疾風、伊利亞）攻防属性提高15%。每次造成伤害后，100%概率对目标施加随机1个[2级减益]，持续2回合。攻击前，目标每有一个[减益]，自身暴击率提高10%。攀岩精準射擊脫兔穿雲箭致命擊疾風怒濤亂射陣營契合度蠻高開發預定是警戒角有3*4的大範圍，跟十一階技能配上疾風，傷害蠻可觀但為了機動性，個人是犧牲警戒技前期斷腿風箏，近戰打不到技能每個陣營契合度都蠻高的5星天賦質變增加爆率推薦再抽伊利亞陣營抽『迪塔利奧』疾風陣營抽『柯爾』開局陣營搭配：補師兼魔攻手紅準哥洛莉亞（騎士、不動山）攻击提高20%。战斗开始时，自动使用[圣枪技•扬旗]获得[扬旗]。失去[扬旗]时，获得[潜能激发]，持续2回合，移动力增加2格，无视目标50%防御。[扬旗]光环，自身范围3格内所有友军，攻防属性提高12%，不可驱散，无法免疫。[潜能激发]增益，攻击提高20%，防御提高40%，获得[×属性减益]。莊嚴聖槍朗基努斯回擊正義之誓約貫徹正義之槍騎士的榮耀『騎士陣營光環』主攻增傷能打能輔的角色到哪個陣營都吃香開局陣營搭配：補師兼魔攻手弓手柯爾（漂泊、疾風、法皇國）拥有[跳跃]，自身范围2格内没友军时，物攻、暴击率提高15%。攻击敌人[侧、后方]并击败时，可再次行动，冷却1回合。偷襲面具詭異步伐完美刺客暗刺抹殺『疾風陣營光環』-增加爆率爆傷再動輸出TOP.1，能潛入收割後排也很多保命技能後續能抽莉莉維爾、法卡爾、倫伽勒做後排支援開局陣營搭配：補師兼魔攻手攻手或刺客伊蘭納战斗开始时，召唤一名[王女亲卫]。行动结束时，治疗自身范围4格内生命值最低的2名友方，治疗量为魔攻值的25%，获得随机1个[2级增益]，持续2回合。[王女亲卫]攻防属性提高15%，技能[召唤亲卫]，每场战斗可额外使用2次。女王的祈願衛兵！光之庇護與你同在破甲擊出逃的女王能奶能補，伊利亞top1輔助後續建議抽出迪塔利奧開局陣營搭配：法師紅準貝拉（鈴蘭、法皇國、略火）伤害提高25%。行动开始时，100%概率获得随机1个[2级增益]，持续3回合，并额外回复1点能量。隨便找找晶能親和小可愛試試這個哐當嘭嘭嘭嘭嘭！回能手，傷害也不低，跟麥紗走，安心輸出開局陣營搭配：補師兼魔攻手紅準——————————————————首抽堪用薩曼莎（法皇國、略火）使自身范围3格内所有友军，受到治疗效果提高30%，若友军被攻击后处于[受伤]或[濒死]状态，消耗自身1点能量，治疗该友军，治疗量为魔攻值的50%。晶能親和聖光恩賜虔誠信仰滌淨塵世之光回能擊庇護聖所萬能奶媽，有女皇當然更好不然也算是Top1開局陣營搭配：法師紅準——————————————————不建議首抽Ps.不是不強有些後期才強勢，有些跟新手免費角不契合『麥紗、拉維耶』-免費角古茲曼狂戰角兼控場，需要點技術陣營也不適合澤維爾範圍角前期扛不太住五階技出現來才開始『伊利亞陣營』能上減益狀態增傷泰登控場角可惜不是伊利亞陣營列奧尼德初期有麥紗抽到迪塔利奧、柯爾可以換下麥紗嘉西婭一樣陣營問題，法皇國強力角馬格努斯範圍物傷角陣營光環統整表,81,0
2,黎德,e21010371,2023-08-08 12:09:27,"
精闢
",0,0
3,我是勇者,puddkinyip,2023-08-08 14:08:52,"
迪塔利奥技能怎麼選比較好
",0,0
4,xman333999,xman333999,2023-08-08 14:48:56,"
 我重開比較好嗎…
",1,0
5,martinmao,dodo841108,2023-08-08 15:36:01,"
想問馬格建議先不開可以嘗試看看別的首抽嗎
",0,0
6,KCC,kcc,2023-08-08 15:52:58,"21-30抽, 不建議開局的手牽手一起來了...",1,0
7,Carambole,wei45633,2023-08-08 15:56:52,8月8號是父親節??不對是首抽日,0,0
8,一拳打死熊,Powertakeo,2023-08-08 16:04:49,"
想請問一下，這樣強度開局如何？謝謝
",2,0
9,Taeng,joe0429ms,2023-08-08 16:13:07,兩個帳號都玩到10等30抽  A帳號 30抽都丟在新手池  硬要30抽才出貨   出科爾B帳號 10抽新手池  出迪塔利奧   20抽科爾+貝拉UP池   出貝拉+麥莎 A帳有點非洲新手池30抽才出  但是有抽到一個T0B帳看起來還算歐30抽3隻  但是角色只是T1 T2的請問選哪個帳號接著玩下去好呢,0,0
10,Vicious,kuso326,2023-08-08 22:04:35,新手池10抽 請問這樣的開局強度可以嗎?  有點不太懂,0,0
11,黎德,e21010371,2023-08-08 22:07:32,"
謝謝 好文章
",0,0
12,martinmao,dodo841108,2023-08-09 10:42:19,"
 刷了整整一天終於出了王女 有看到法卡爾要跟柯爾搭現在卡池up建議直接抽嗎
",0,0
13,奕辰,julian0807,2023-08-09 15:08:53,40抽科爾跟迪塔利奧，還有一隻麥莎（不是送的10抽），建議開嗎？,0,0
14,洪洪洪,jerry61030,2023-08-09 18:23:16,"
請問王女的技能要怎麼配？
",0,0
15,能不能跳著說,freetime2000,2023-08-09 19:07:11,"
請問 古茲曼技能 要怎麼點 謝謝有玩過的大大教學一下  感恩
",0,0
16,耶耶,sd1025236731,2023-08-09 22:44:54,"
 請問大大首抽這樣可以嗎？有哪幾隻能練，謝謝
",5,0
17,築夢,asa780312,2023-08-11 01:46:16,8/11已更新,0,0
18,小夜夜,pigpigoAo723,2023-08-11 19:58:52,－非洲帳號 目前抽到的就只有兩位SSR……列奧尼德的點法，這邊分享一下我自己的選擇跟看法一階【庇護之光】生命+3%【原地警戒】防禦+3%很容易做選擇，肯定是選擇庇護之光。能在攻擊回合打不到敵人的時候奶隊友一口，也能幫下一位滿血行動的隊友上增傷20％魔防40％，效果能持續兩個回合。反觀原地警戒這個技能與列奧尼德完全不搭，他的個性技是需要走動才能把傷害做到最大，先不說那短短的兩格警戒距離，點這個出來是準備打算去讓他站在角落邊打地鼠嗎？三階【突擊姿態】防禦+3%【光輝衛士】生命+3%這兩招我考慮了很久很久選擇點的是突擊姿態。已知列奧尼德是位需要走動才有傷害的角色，突擊姿態給的瞬發、增攻15%、移動格數+2、攻擊後再動（會根據剩餘移動力給格數，走滿就只能待原地放招）算是不錯的無消耗前置技，能在攻擊回合做到最大的爆發與傷害，用來搭配大招光耀騎槍突進，去做到收割敵人的效果，缺點大概就是冷卻4回合，無法沒節制的配合全力騎槍突進來使用。光輝衛士則是能+15%血量且當自身最大生命高於對方當前生命時，攻擊會附帶擊退效果，在場上能輕鬆調整敵人位置或配合戰場地形效果（燃燒、深水、虛空、高崖邊……）來痛擊敵人，免疫受傷的負面效果也能保持自身的坦度與傷害，但血線掉到30%還是會觸發瀕死效果。穩扎穩打的效果讓列奧在打各式關卡或愚者劇情的使用上也會更優秀一些。突擊適合競技場使用，光衛則偏向日常總總使用，未來有條件的話則是可用領悟之力把這兩招都點起來用。五階【忍痛】攻擊+3%【守護誓言】攻擊+3%這個沒什麼好選的直接選守護誓言就是了。忍痛大致上就是減傷8%然後把受傷的被擊效果20%拔除，但你打敵人的弱化效果20%還是存在，如果三階點的是光輝衛士這招只吃得到減傷8%，何況還有個殘血30%會觸發的瀕死效果也吃不到效益，妥妥的天兵技一枚。守護誓言能幫自身兩格範圍內的隊友坦一次近戰傷害，先出手攻擊敵人後才會吃到敵人傷害，但是這招搭配三階點的光輝衛士則是能在先制反擊敵人的同時擊退打斷敵人的動作，冷卻3回合恰到好處，看似雞肋但頻繁的換位也會干擾自身路徑，對自身沒什麼加成，但在跟隊友走一路協防隊友背襲或側襲的能力上，算是很強的一個反應技。七階【衝鋒追擊】生命+3%【列陣如林】防禦+3%衝鋒比較適合喜歡打戰術的玩家使用，雖無擊退效果，但因為是瞬發技，所以可以把敵人跟爆炸等物品當目標中轉站先衝上去撞傷害再調整位置用全力騎補刀，亦或是斬旗回血削弱敵人，算是日常跟競技都不錯的招式。如果沒太多想法的話跟我一樣選光環也很讚，尤其林陣的效果列奧自己的大招光耀騎槍突進就能吃到效果，雖然會佔據一個技能格子但效益是整個林陣營的角色都能夠吃到，不過除了王女外剩下的都是些歪瓜劣棗就是了……九階【破閃擊】防禦+3%【回能擊】生命+3%這兩招也是各有特色，一個能封鎖閃避效果一個可以多回1點能量。列奧尼德的全力騎需要冷卻2回合才能釋放，光耀騎又只需要1點能量，搭配的技能又多是瞬發輔助或被動技這些看起來並不太需要回能的效果。起初我是想點破閃擊的，但考量到有噬能這種可以把能量都吃光的技能，回能擊的重要性好像又高於破閃擊，5星的被動增幅又無視格檔與閃避，能讓他不懼閃避效果。兩者看下來，回能擊偏向自身技能的運轉，破閃擊則是偏向團隊及競技需求。十一階【光耀騎槍突進】攻擊+3%【招架】攻擊+3%在領悟之力爆缺的情況下，請直接選帥氣又帶有個人特色的光耀騎槍突進就行了。冷卻很長沒錯，在場上作為最後的波紋點下去用就對了。,6,0
19,martinmao,dodo841108,2023-08-14 15:16:11,抱歉想問一下兩個號推薦建議培養哪一組有點難兩組都練 第一組抽了科爾池都抽到貝拉目前都練到25左右,0,0
floor,user_name,user_id,publish_time,content,gp_count,bp_count
1,JJ Abrams,yishi0714,2023-08-09 01:26:23,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=eWlzaGkwNzE0&id=6,11,10
2,bush,bush1993,2023-08-09 02:00:47,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YnVzaDE5OTM-&id=1,0,0
4,蘇阿桃,fat7667,2023-08-09 02:49:38,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=ZmF0NzY2Nw--&id=3,0,0
5,Arthur,ashadow520,2023-08-09 03:16:26,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YXNoYWRvdzUyMA--&id=1,0,0
6,酒是愛,ksz5209,2023-08-09 03:21:40,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=a3N6NTIwOQ--&id=1,0,0
7,DarkRiven,Loloyoung,2023-08-09 03:57:24,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=bG9sb3lvdW5n&id=1,0,0
8,jacklin24,jack24587654,2023-08-09 04:04:22,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=amFjazI0NTg3NjU0&id=6,0,0
9,Yomatt,y40705,2023-08-09 04:14:43,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=eTQwNzA1&id=1,0,0
10,殺手,kizzahuang,2023-08-09 04:15:45,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=a2l6emFodWFuZw--&id=1,0,0
11,熊熊,minda721,2023-08-09 04:29:33,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=bWluZGE3MjE-&id=1,0,0
12,Bubbletea,andy5353,2023-08-09 04:37:49,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YW5keTUzNTM-&id=1,0,0
13,JoJo,gk523993,2023-08-09 05:00:34,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=Z2s1MjM5OTM-&id=1,0,0
14,J,jackygod,2023-08-09 05:06:47,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=amFja3lnb2Q-&id=1,0,0
15,想睡覺,benz9994,2023-08-09 05:46:16,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YmVuejk5OTQ-&id=5,0,0
16,蒼蒼,q5308q5308,2023-08-09 06:53:12,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=cTUzMDhxNTMwOA--&id=1,0,0
17,光耀,sunny1220,2023-08-09 07:12:28,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=c3VubnkxMjIw&id=1 麻煩各位了,0,0
18,鬼殺手,aa0212604139,2023-08-09 07:14:24,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=YWEwMjEyNjA0MTM5&id=1 幫建設 謝謝,0,0
19,不存在的人,rf13gh24a,2023-08-09 07:14:52,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=cmYxM2doMjRh&id=1,0,0
20,joshwang,josh0000123,2023-08-09 07:35:05,https://prj.gamer.com.tw/2023/SwordofConvallaria/index.php?u=am9zaDAwMDAxMjM-&id=1,0,0
floor,user_name,user_id,publish_time,content,gp_count,bp_count
1,瀧,t12345825,2023-08-13 13:46:16,眾所周知，抽得越多，會越接近2%很多人抽個幾十抽中了好幾隻SSR邂逅率上到10%的都有但百抽之後，你是被打回原形?還是仍然擁有高於常人的運氣呢?快來分享你的歐氣吧P.S不到100抽的就不用PO了，沒什麼參考價值分享一點心得，抽卡前的塔羅我是基本不挑的系統給的第一張是什麼就是那張了就是你了 !,7,42
2,小夜夜,pigpigoAo723,2023-08-13 13:53:10,"
還滿歐的 整個往我臉上毆的那種……別人嫌棄的開局都被我撿到，要不是有貝拉的語音在場上活躍，心臟可能在抽到那兩位叔的畫面就扛不住了。
",6,0
3,小東,zzz316361699,2023-08-13 14:00:18,"
超級歐不過是歐郎的歐
",0,0
4,身騎羊駝,n22125656,2023-08-13 14:02:06,"
開服第一天歐洲 接下來就持續還債
",0,0
5,永夜彈琴夢,pnshxive520,2023-08-13 14:14:15,普通人的程度 第110抽才突然變好 接下來就開始蹲了,0,0
6,鮭魚壽司,keiwq7814,2023-08-13 14:19:14,"
昨天新開的號 比本尊還歐
",9,0
7,小奶狗,carson1017,2023-08-13 15:50:25,360抽 還能有3% 我覺得算歐了,1,0
8,阿邦,jeremy32151,2023-08-13 15:53:34,"

",3,0
9,雪之戀,a0919619947,2023-08-13 16:04:39,"
小歐?手癢又抽了一發
",5,0
10,百物語,fatetyrant,2023-08-13 20:33:46,"
想拼貝拉一直不出.. 現在隊伍手好短
",1,0
11,MINMIN,ro791116,2023-08-13 21:11:21,"
好非
",0,0
12,ZRXXI,Apple502,2023-08-13 21:26:40,"
   好明顯我不是被選中的孩子，但我會繼續玩下去。。。唉
",2,0
